DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
07/01/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.21,,,,,
07/02/1926,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,
07/06/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.61,,,,,
07/07/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.35,,,,,
07/08/1926,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,
07/09/1926,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,
07/10/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.11,,,,,
07/12/1926,,,,,,,,,,,,,,,,,,,,,,,,0.30,,,,,
07/13/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.08,,,,,
07/14/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.35,,,,,
07/15/1926,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,
07/16/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.20,,,,,
07/17/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.67,,,,,
07/19/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.19,,,,,
07/20/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,,,
07/21/1926,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,
07/22/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.18,,,,,
07/23/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.14,,,,,
07/24/1926,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,
07/26/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.24,,,,,
07/27/1926,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,
07/28/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.30,,,,,
07/29/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.68,,,,,
07/30/1926,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,
07/31/1926,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,
08/02/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.22,,,,,
08/03/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.23,,,,,
