DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
07/01/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.33,,,,,
07/02/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,,,
07/06/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.41,,,,,
07/07/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.21,,,,,
07/08/1926,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,
07/09/1926,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,
07/10/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,,,
07/12/1926,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,
07/13/1926,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,
07/14/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.56,,,,,
07/15/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,,,
07/16/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.47,,,,,
07/17/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.64,,,,,
07/19/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.43,,,,,
07/20/1926,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,
07/21/1926,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,
07/22/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.12,,,,,
07/23/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,,,
07/24/1926,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,
07/26/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.16,,,,,
07/27/1926,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,
07/28/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.53,,,,,
07/29/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.53,,,,,
07/30/1926,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,
07/31/1926,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,
08/02/1926,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,
08/03/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.23,,,,,
08/04/1926,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,
08/05/1926,,,,,,,,,,,,,,,,,,,,,,,,0.70,,,,,
08/06/1926,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,
08/07/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.14,,,,,
08/09/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.16,,,,,
08/10/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.13,,,,,
08/11/1926,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,
