DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
07/01/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.16%,,,,,
07/02/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.05%,,,,,
07/03/1957,,,,,,,,,,,,,,,,,,,,,,,,0.09%,,,,,
07/05/1957,,,,,,,,,,,,,,,,,,,,,,,,0.20%,,,,,
07/08/1957,,,,,,,,,,,,,,,,,,,,,,,,0.10%,,,,,
07/09/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.10%,,,,,
07/10/1957,,,,,,,,,,,,,,,,,,,,,,,,0.56%,,,,,
07/11/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.20%,,,,,
07/12/1957,,,,,,,,,,,,,,,,,,,,,,,,0.10%,,,,,
07/15/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.17%,,,,,
07/16/1957,,,,,,,,,,,,,,,,,,,,,,,,0.37%,,,,,
07/17/1957,,,,,,,,,,,,,,,,,,,,,,,,0.03%,,,,,
07/18/1957,,,,,,,,,,,,,,,,,,,,,,,,0.44%,,,,,
07/19/1957,,,,,,,,,,,,,,,,,,,,,,,,0.03%,,,,,
07/22/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.08%,,,,,
07/23/1957,,,,,,,,,,,,,,,,,,,,,,,,0.01%,,,,,
07/24/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.18%,,,,,
07/25/1957,,,,,,,,,,,,,,,,,,,,,,,,0.14%,,,,,
07/26/1957,,,,,,,,,,,,,,,,,,,,,,,,0.20%,,,,,
07/29/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.38%,,,,,
07/30/1957,,,,,,,,,,,,,,,,,,,,,,,,0.03%,,,,,
07/31/1957,,,,,,,,,,,,,,,,,,,,,,,,0.15%,,,,,
08/01/1957,,,,,,,,,,,,,,,,,,,,,,,,0.20%,,,,,
08/02/1957,,,,,,,,,,,,,,,,,,,,,,,,0.23%,,,,,
08/05/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.21%,,,,,
08/06/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.03%,,,,,
08/07/1957,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,
08/08/1957,,,,,,,,,,,,,,,,,,,,,,,,0.16%,,,,,
08/09/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.15%,,,,,
08/12/1957,,,,,,,,,,,,,,,,,,,,,,,,0.37%,,,,,
08/13/1957,,,,,,,,,,,,,,,,,,,,,,,,0.09%,,,,,
08/14/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.07%,,,,,
08/15/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.07%,,,,,
08/16/1957,,,,,,,,,,,,,,,,,,,,,,,,0.04%,,,,,
08/19/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.09%,,,,,
08/20/1957,,,,,,,,,,,,,,,,,,,,,,,,0.01%,,,,,
08/21/1957,,,,,,,,,,,,,,,,,,,,,,,,0.03%,,,,,
08/22/1957,,,,,,,,,,,,,,,,,,,,,,,,0.03%,,,,,
08/23/1957,,,,,,,,,,,,,,,,,,,,,,,,0.14%,,,,,
08/26/1957,,,,,,,,,,,,,,,,,,,,,,,,0.08%,,,,,
08/27/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.06%,,,,,
08/28/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.15%,,,,,
08/29/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.08%,,,,,
08/30/1957,,,,,,,,,,,,,,,,,,,,,,,,0.01%,,,,,
09/03/1957,,,,,,,,,,,,,,,,,,,,,,,,0.21%,,,,,
09/04/1957,,,,,,,,,,,,,,,,,,,,,,,,0.17%,,,,,
09/05/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.11%,,,,,
09/06/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.03%,,,,,
09/09/1957,,,,,,,,,,,,,,,,,,,,,,,,0.15%,,,,,
09/10/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.08%,,,,,
09/11/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.22%,,,,,
09/12/1957,,,,,,,,,,,,,,,,,,,,,,,,0.15%,,,,,
09/13/1957,,,,,,,,,,,,,,,,,,,,,,,,0.21%,,,,,
09/16/1957,,,,,,,,,,,,,,,,,,,,,,,,0.25%,,,,,
09/17/1957,,,,,,,,,,,,,,,,,,,,,,,,0.03%,,,,,
09/18/1957,,,,,,,,,,,,,,,,,,,,,,,,0.09%,,,,,
09/19/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.04%,,,,,
09/20/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.03%,,,,,
09/23/1957,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,
09/24/1957,,,,,,,,,,,,,,,,,,,,,,,,0.21%,,,,,
09/25/1957,,,,,,,,,,,,,,,,,,,,,,,,0.14%,,,,,
09/26/1957,,,,,,,,,,,,,,,,,,,,,,,,0.10%,,,,,
09/27/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.37%,,,,,
09/30/1957,,,,,,,,,,,,,,,,,,,,,,,,-0.10%,,,,,
