DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
07/01/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.11%,,,,,
07/02/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.37%,,,,,
07/06/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.14%,,,,,
07/07/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.17%,,,,,
07/08/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.30%,,,,,
07/09/1926,,,,,,,,,,,,,,,,,,,,,,,,0.32%,,,,,
07/10/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.21%,,,,,
07/12/1926,,,,,,,,,,,,,,,,,,,,,,,,0.13%,,,,,
07/13/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.11%,,,,,
07/14/1926,,,,,,,,,,,,,,,,,,,,,,,,0.09%,,,,,
07/15/1926,,,,,,,,,,,,,,,,,,,,,,,,0.52%,,,,,
07/16/1926,,,,,,,,,,,,,,,,,,,,,,,,0.17%,,,,,
07/17/1926,,,,,,,,,,,,,,,,,,,,,,,,0.21%,,,,,
07/19/1926,,,,,,,,,,,,,,,,,,,,,,,,0.10%,,,,,
07/20/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.32%,,,,,
07/21/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.17%,,,,,
07/22/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.17%,,,,,
07/23/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.05%,,,,,
07/24/1926,,,,,,,,,,,,,,,,,,,,,,,,0.31%,,,,,
07/26/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.25%,,,,,
07/27/1926,,,,,,,,,,,,,,,,,,,,,,,,0.01%,,,,,
07/28/1926,,,,,,,,,,,,,,,,,,,,,,,,0.28%,,,,,
07/29/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.74%,,,,,
07/30/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.59%,,,,,
07/31/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.19%,,,,,
08/02/1926,,,,,,,,,,,,,,,,,,,,,,,,-0.11%,,,,,
