DATE,BaB,SMB,HML,HML_Devil,UMD,QMJ,CMA,RMW,MOM,Mkt-RF,M2USEV,M2USEW,M2US000,M2USVOE,M5USIDY,M2NAUSQL,M05JUS0
1926-07-01,,-0.11,-0.33,-0.21,,,,,,,,,,,,,
1926-07-02,,-0.37,-0.05,0.25,,,,,,,,,,,,,
1926-07-06,,-0.14,-0.41,-0.61,,,,,,,,,,,,,
1926-07-07,,-0.17,-0.21,-0.35,,,,,,,,,,,,,
1926-07-08,,-0.3,0.0,0.11,,,,,,,,,,,,,
1926-07-09,,0.32,0.31,0.56,,,,,,,,,,,,,
1926-07-10,,-0.21,-0.02,-0.11,,,,,,,,,,,,,
1926-07-12,,0.13,0.45,0.3,,,,,,,,,,,,,
1926-07-13,,-0.11,0.16,-0.08,,,,,,,,,,,,,
1926-07-14,,0.09,-0.56,-0.35,,,,,,,,,,,,,
1926-07-15,,0.52,-0.05,0.07,,,,,,,,,,,,,
1926-07-16,,0.17,-0.47,-0.2,,,,,,,,,,,,,
1926-07-17,,0.21,-0.64,-0.67,,,,,,,,,,,,,
1926-07-19,,0.1,-0.43,-0.19,,,,,,,,,,,,,
1926-07-20,,-0.32,0.07,-0.03,,,,,,,,,,,,,
1926-07-21,,-0.17,0.17,0.21,,,,,,,,,,,,,
1926-07-22,,-0.17,-0.12,-0.18,,,,,,,,,,,,,
1926-07-23,,-0.05,-0.01,-0.14,,,,,,,,,,,,,
1926-07-24,,0.31,0.09,0.09,,,,,,,,,,,,,
1926-07-26,,-0.25,-0.16,-0.24,,,,,,,,,,,,,
1926-07-27,,0.01,0.15,0.13,,,,,,,,,,,,,
1926-07-28,,0.28,-0.53,-0.3,,,,,,,,,,,,,
1926-07-29,,-0.74,-0.53,-0.68,,,,,,,,,,,,,
1926-07-30,,-0.59,0.34,0.57,,,,,,,,,,,,,
1926-07-31,,-0.19,0.01,0.07,,,,,,,,,,,,,
1926-08-02,,-0.11,0.15,-0.22,,,,,,,,,,,,,
1926-08-03,,-0.25,-0.23,-0.23,,,,,,,,,,,,,
1926-08-04,,0.26,0.12,0.43,,,,,,,,,,,,,
1926-08-05,,0.15,0.7,0.23,,,,,,,,,,,,,
1926-08-06,,-0.08,0.16,0.1,,,,,,,,,,,,,
1926-08-07,,-0.25,-0.14,-0.05,,,,,,,,,,,,,
1926-08-09,,-0.15,-0.16,-0.19,,,,,,,,,,,,,
1926-08-10,,0.74,-0.13,0.35,,,,,,,,,,,,,
1926-08-11,,0.35,0.62,0.83,,,,,,,,,,,,,
1926-08-12,,-0.94,0.74,0.7,,,,,,,,,,,,,
1926-08-13,,-0.71,0.48,0.55,,,,,,,,,,,,,
1926-08-14,,-0.06,-0.57,-0.41,,,,,,,,,,,,,
1926-08-16,,0.2,1.11,0.94,,,,,,,,,,,,,
1926-08-17,,0.34,0.3,0.25,,,,,,,,,,,,,
1926-08-18,,-0.16,-0.42,-0.38,,,,,,,,,,,,,
1926-08-19,,0.33,-0.2,-0.32,,,,,,,,,,,,,
1926-08-20,,-0.18,0.07,0.14,,,,,,,,,,,,,
1926-08-21,,0.28,0.63,0.49,,,,,,,,,,,,,
