DATE,SMB,RMW,CMA,MOM,BaB,QMJ,HML_Devil,UMD
1990-01-01,0.0,-0.002,-0.0026,0.0022,-0.0003,0.0,0.0,0.0
1990-01-02,-0.0043,0.0018,-0.0045,-0.0107,-0.0033,-0.0015,0.0084,-0.0087
1990-01-03,0.0074,0.0016,-0.0046,-0.0033,0.0008,-0.0003,0.0004,-0.0006
1990-01-04,0.0038,-0.0005,-0.0002,-0.0035,0.0023,-0.0001,0.0005,-0.0036
1990-01-05,0.0083,-0.0001,-0.001,-0.0033,-0.0007,-0.0014,0.0,-0.0035
1990-01-08,-0.0026,0.0005,0.0031,0.002,-0.0019,0.0022,-0.0023,0.0008
1990-01-09,0.0079,-0.001,0.0014,0.0014,0.0006,-0.001,-0.0005,0.0014
1990-01-10,-0.0001,-0.0027,0.004,-0.0016,0.0054,-0.0004,0.0008,-0.0001
1990-01-11,-0.002,0.0003,0.002,-0.0009,0.0028,0.0008,-0.0001,-0.0006
1990-01-12,0.0031,-0.0035,0.0025,-0.0028,0.0024,0.0025,0.0045,-0.0013
1990-01-15,0.0002,-0.0027,0.0016,-0.0039,-0.0018,0.0011,0.004,-0.0042
1990-01-16,-0.0069,0.0046,-0.0031,-0.0019,-0.0078,0.0005,-0.0012,-0.0013
1990-01-17,0.0091,-0.0009,0.0002,0.0027,0.0021,-0.0001,-0.0033,0.0024
1990-01-18,-0.0045,0.0009,0.0015,0.0029,-0.0026,0.0034,-0.0009,0.0013
1990-01-19,0.0013,-0.0054,0.0006,0.0072,-0.0028,-0.003,-0.0026,0.0041
1990-01-22,0.008,-0.0014,0.0014,0.0004,0.0015,0.0034,0.0025,-0.0002
1990-01-23,-0.0026,0.0003,0.0036,-0.0001,-0.0048,0.0022,0.001,-0.001
1990-01-24,-0.0082,0.0017,-0.0004,-0.0027,-0.013,0.0031,-0.004,-0.0005
1990-01-25,0.0069,-0.0035,0.0027,0.0008,0.011,-0.0035,0.0017,-0.0003
1990-01-26,-0.0052,-0.0003,0.0,-0.0022,0.0039,-0.0001,0.0031,-0.0039
1990-01-29,-0.0052,0.0014,0.0034,-0.0021,-0.0071,0.0031,0.0005,-0.0014
1990-01-30,-0.0057,-0.0026,0.0012,-0.007,0.0065,0.0029,0.0056,-0.005
1990-01-31,-0.0108,-0.0008,-0.0006,0.0019,-0.0089,-0.0054,-0.0018,0.0025
1990-02-01,0.0051,-0.0022,-0.0003,0.0055,0.0024,-0.0009,-0.004,0.0048
1990-02-02,0.0032,-0.0012,0.0011,0.0049,-0.0016,-0.0009,-0.0057,0.0045
1990-02-05,0.0017,0.0002,-0.0021,-0.0015,0.0013,-0.0022,-0.0042,-0.0001
1990-02-06,0.0058,-0.0019,-0.0006,-0.0021,-0.0013,0.0,0.0018,-0.002
1990-02-07,-0.0059,-0.0004,-0.0024,-0.0008,-0.0046,-0.0012,-0.0054,0.001
1990-02-08,0.0027,0.0004,0.0009,0.0043,0.0006,-0.0002,-0.003,0.0031
1990-02-09,0.0005,-0.0009,-0.0022,0.0024,0.0014,0.0,-0.0011,0.0012
1990-02-12,0.004,0.0,0.0015,0.0016,0.0004,-0.0013,0.0002,-0.0004
1990-02-13,-0.0057,0.0009,0.0012,-0.0027,-0.0025,0.0007,-0.0017,-0.0001
1990-02-14,-0.0023,0.0004,0.0011,-0.0009,-0.0008,0.0009,-0.0019,0.0009
1990-02-15,-0.0036,0.0034,0.0004,0.0029,-0.0045,0.0008,-0.0012,-0.0003
1990-02-16,0.0055,-0.0018,0.001,-0.0006,0.0031,-0.0026,0.0022,-0.0012
1990-02-19,0.0,-0.0018,0.001,-0.0006,-0.0003,0.0,0.0,0.0
1990-02-20,0.004,-0.0015,0.0006,-0.0007,0.0032,0.0018,0.0021,-0.0005
1990-02-21,-0.005,-0.0008,0.0015,-0.0071,-0.0031,-0.0022,0.0044,-0.0061
1990-02-22,0.008,0.0014,-0.0037,0.0018,0.0,-0.0013,0.0017,-0.0015
1990-02-23,-0.0019,0.0017,0.0,-0.004,-0.0002,0.0014,0.0073,-0.0057
1990-02-26,-0.0131,0.0031,-0.0006,-0.0012,-0.0026,0.0023,-0.0014,-0.0004
